# Refine Proto Data - TXT Format
# Bu dosya DB yerine kullanılacak refine verilerini içerir
# Format: ID|cost|prob|vnum0|count0|vnum1|count1|vnum2|count2|vnum3|count3|vnum4|count4|vnum5|count5|vnum6|count6|vnum7|count7|vnum8|count8|vnum9|count9|src_vnum|result_vnum
# Toplam 25 alan: ID(1) + cost(1) + prob(1) + materials(20) + src(1) + result(1) = 25

# Silah Refineleri - +0 to +9
# +0 → +1 (Kolay)
1|50000|100|27001|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11200|12200

# +1 → +2 (Kolay)
2|100000|95|27001|2|27002|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12200|13200

# +2 → +3 (Orta)
3|200000|90|27001|3|27002|2|27003|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13200|14200

# +3 → +4 (Orta)
4|400000|85|27001|4|27002|3|27003|2|27004|1|0|0|0|0|0|0|0|0|0|0|0|0|14200|15200

# +4 → +5 (Zor)
5|800000|75|27001|5|27002|4|27003|3|27004|2|27005|1|0|0|0|0|0|0|0|0|0|0|15200|16200

# +5 → +6 (Zor)
6|1600000|65|27001|6|27002|5|27003|4|27004|3|27005|2|27006|1|0|0|0|0|0|0|0|0|16200|17200

# +6 → +7 (Çok Zor - 7 materyal)
7|3200000|50|27001|8|27002|6|27003|5|27004|4|27005|3|27006|2|27007|1|0|0|0|0|0|0|17200|18200

# +7 → +8 (Çok Zor - 8 materyal)
8|6400000|35|27001|10|27002|8|27003|6|27004|5|27005|4|27006|3|27007|2|27008|1|0|0|0|0|18200|19200

# +8 → +9 (Ekstrem - 10 materyal!)
9|12800000|15|27001|12|27002|10|27003|8|27004|6|27005|5|27006|4|27007|3|27008|2|27009|1|27010|1|19200|20200

# Zırh Refineleri - Benzer şekilde ancak farklı materyaller
# +0 → +1 Zırh
101|40000|100|27011|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11280|12280

# +1 → +2 Zırh
102|80000|95|27011|2|27012|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12280|13280

# +2 → +3 Zırh
103|160000|90|27011|3|27012|2|27013|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13280|14280

# +3 → +4 Zırh
104|320000|85|27011|4|27012|3|27013|2|27014|1|0|0|0|0|0|0|0|0|0|0|0|0|14280|15280

# +4 → +5 Zırh
105|640000|75|27011|5|27012|4|27013|3|27014|2|27015|1|0|0|0|0|0|0|0|0|0|0|15280|16280

# +5 → +6 Zırh
